Type;auto_price;auto_year;auto_owners;auto_guarantee;auto_mileage;auto_engine;auto_transmission;auto_drive_unit;auto_wheel;auto_carcase;auto_color;link
"
        Audi A4 CVT 2013 с пробегом 145 058 км        ID
                    16079066        
";"
                1 075 000                ₽ ";"
              2013            ";"
                4                владельца              ";"до
                  01.2024                ";"
              145 058 км
            ";"
              1.8 л /
              170 л.с. /
              Бензин                          ";"
              Вариатор            ";"
              Передний            ";Левый;"
              Седан            ";"
              Синий            ";https://rolf-probeg.ru//spb/cars/audi/a4/16079066/
"
        Mitsubishi Pajero Sport АКПП 2018 с пробегом 52 700 км        ID
                    14930312        
";"
                2 768 000                ₽ ";"
              2018            ";"
                1                владелец              ";"до
                  04.2023                ";"
              52 700 км
            ";"
              2.4 л /
              181 л.с. /
              Дизель                          ";"
              Автоматическая            ";"
              Полный            ";Левый;"
              Внедорожник 5 дв.            ";"
              Серый            ";https://rolf-probeg.ru//spb/cars/mitsubishi/pajero-sport/14930312/
"
        Kia Sportage АКПП 2018 с пробегом 96 777 км        ID
                    15123708        
";"
                1 599 000                ₽ ";"
              2018            ";"
                2                владельца              ";"до
                  01.2024                ";"
              96 777 км
            ";"
              2.0 л /
              150 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Передний            ";Левый;"
              Внедорожник 5 дв.            ";"
              Белый            ";https://rolf-probeg.ru//spb/cars/kia/sportage/15123708/
"
        Kia Rio АКПП 2020 с пробегом 29 500 км        ID
                    16081439        
";"
                1 444 000                ₽ ";"
              2020            ";"
                1                владелец              ";"до
                  11.2025                ";"
              29 500 км
            ";"
              1.6 л /
              123 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Передний            ";Левый;"
              Седан            ";"
              Серый            ";https://rolf-probeg.ru//spb/cars/kia/rio/16081439/
"
        Ford Kuga АКПП 2014 с пробегом 100 120 км        ID
                    15124838        
";"
                1 074 000                ₽ ";"
              2014            ";"
                3                владельца              ";"до
                  01.2024                ";"
              100 120 км
            ";"
              2.5 л /
              150 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Передний            ";Левый;"
              Внедорожник 5 дв.            ";"
              Белый            ";https://rolf-probeg.ru//spb/cars/ford/kuga/15124838/
"
        Hyundai i30 МКПП 2010 с пробегом 202 200 км        ID
                    16085859        
";"
                434 000                ₽ ";"
              2010            ";"
                3                владельца              ";"до
                  01.2024                ";"
              202 200 км
            ";"
              1.6 л /
              126 л.с. /
              Бензин                          ";"
              Механическая            ";"
              Передний            ";Левый;"
              Хэтчбек 5 дв.            ";"
              Серебристый            ";https://rolf-probeg.ru//spb/cars/hyundai/i30/16085859/
"
        Ford Kuga АКПП 2015 с пробегом 153 203 км        ID
                    15953171        
";"
                1 143 000                ₽ ";"
              2015            ";"
                3                владельца              ";"до
                  02.2024                ";"
              153 203 км
            ";"
              2.5 л /
              150 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Передний            ";Левый;"
              Внедорожник 5 дв.            ";"
              Белый            ";https://rolf-probeg.ru//spb/cars/ford/kuga/15953171/
"
        Peugeot Expert АКПП 2018 с пробегом 73 100 км        ID
                    16087110        
";"
                1 869 000                ₽ ";"
              2018            ";"
                3                владельца              ";"до
                  02.2024                ";"
              73 100 км
            ";"
              2.0 л /
              150 л.с. /
              Дизель                          ";"
              Автоматическая            ";"
              Передний            ";Левый;"
              Фургон            ";"
              Черный            ";https://rolf-probeg.ru//spb/cars/peugeot/expert/16087110/
"
        Kia Cerato АКПП 2013 с пробегом 85 355 км        ID
                    15048237        
";"
                819 000                ₽ ";"
              2013            ";"
                4                владельца              ";"до
                  02.2024                ";"
              85 355 км
            ";"
              1.6 л /
              130 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Передний            ";Левый;"
              Седан            ";"
              Серый            ";https://rolf-probeg.ru//spb/cars/kia/cerato/15048237/
"
        Fiat Punto РКПП 2007 с пробегом 125 238 км        ID
                    14670755        
";"
                342 000                ₽ ";"
              2007            ";"
                8                владельцев              ";"до
                  02.2024                ";"
              125 238 км
            ";"
              1.4 л /
              77 л.с. /
              Бензин                          ";"
              Робот            ";"
              Передний            ";Левый;"
              Хэтчбек 3 дв.            ";"
              Синий            ";https://rolf-probeg.ru//spb/cars/fiat/punto/14670755/
"
        Chevrolet Aveo АКПП 2014 с пробегом 118 436 км        ID
                    16090531        
";"
                564 000                ₽ ";"
              2014            ";"
                4                владельца              ";"до
                  02.2024                ";"
              118 436 км
            ";"
              1.6 л /
              115 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Передний            ";Левый;"
              Седан            ";"
              Серый            ";https://rolf-probeg.ru//spb/cars/chevrolet/aveo/16090531/
"
        Volvo S60 РКПП 2010 с пробегом 136 761 км        ID
                    16090565        
";"
                988 000                ₽ ";"
              2010            ";"
                4                владельца              ";"до
                  02.2024                ";"
              136 761 км
            ";"
              2.0 л /
              203 л.с. /
              Бензин                          ";"
              Робот            ";"
              Передний            ";Левый;"
              Седан            ";"
              Черный            ";https://rolf-probeg.ru//spb/cars/volvo/s60/16090565/
"
        Hyundai Santa Fe АКПП 2017 с пробегом 51 875 км        ID
                    16090652        
";"
                2 099 000                ₽ ";"
              2017            ";"
                2                владельца              ";"до
                  02.2024                ";"
              51 875 км
            ";"
              2.4 л /
              171 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Полный            ";Левый;"
              Внедорожник 5 дв.            ";"
              Коричневый            ";https://rolf-probeg.ru//spb/cars/hyundai/santa-fe/16090652/
"
        Renault Koleos CVT 2011 с пробегом 212 583 км        ID
                    16091334        
";"
                879 000                ₽ ";"
              2011            ";"
                3                владельца              ";"до
                  02.2024                ";"
              212 583 км
            ";"
              2.5 л /
              171 л.с. /
              Бензин                          ";"
              Вариатор            ";"
              Полный            ";Левый;"
              Внедорожник 5 дв.            ";"
              Коричневый            ";https://rolf-probeg.ru//spb/cars/renault/koleos/16091334/
"
        Lexus RX АКПП 2009 с пробегом 125 121 км        ID
                    16091534        
";"
                1 579 000                ₽ ";"
              2009            ";"
                4                владельца              ";"до
                  02.2024                ";"
              125 121 км
            ";"
              3.5 л /
              277 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Полный            ";Левый;"
              Внедорожник 5 дв.            ";"
              Темно-синий            ";https://rolf-probeg.ru//spb/cars/lexus/rx/16091534/
"
        Kia Rio АКПП 2015 с пробегом 164 387 км        ID
                    16092196        
";"
                719 000                ₽ ";"
              2015            ";"
                4                владельца              ";"до
                  02.2024                ";"
              164 387 км
            ";"
              1.6 л /
              123 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Передний            ";Левый;"
              Седан            ";"
              Серебристый            ";https://rolf-probeg.ru//spb/cars/kia/rio/16092196/
"
        Nissan Qashqai CVT 2014 с пробегом 81 213 км        ID
                    16091898        
";"
                1 367 000                ₽ ";"
              2014            ";"
                2                владельца              ";"до
                  02.2024                ";"
              81 213 км
            ";"
              2.0 л /
              144 л.с. /
              Бензин                          ";"
              Вариатор            ";"
              Полный            ";Левый;"
              Внедорожник 5 дв.            ";"
              Белый            ";https://rolf-probeg.ru//spb/cars/nissan/qashqai/16091898/
"
        BMW X1 АКПП 2011 с пробегом 129 583 км        ID
                    14914790        
";"
                1 329 000                ₽ ";"
              2011            ";"
                4                владельца              ";"до
                  02.2024                ";"
              129 583 км
            ";"
              2.0 л /
              177 л.с. /
              Дизель                          ";"
              Автоматическая            ";"
              Полный            ";Левый;"
              Внедорожник 5 дв.            ";"
              Коричневый            ";https://rolf-probeg.ru//spb/cars/bmw/x1/14914790/
"
        Ford Fiesta РКПП 2016 с пробегом 23 010 км        ID
                    16091794        
";"
                838 000                ₽ ";"
              2016            ";"
                1                владелец              ";"до
                  02.2024                ";"
              23 010 км
            ";"
              1.6 л /
              105 л.с. /
              Бензин                          ";"
              Робот            ";"
              Передний            ";Левый;"
              Хэтчбек 5 дв.            ";"
              Красный            ";https://rolf-probeg.ru//spb/cars/ford/fiesta/16091794/
"
        Opel Astra АКПП 2013 с пробегом 121 952 км        ID
                    16092688        
";"
                839 000                ₽ ";"
              2013            ";"
                4                владельца              ";"до
                  02.2024                ";"
              121 952 км
            ";"
              1.4 л /
              140 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Передний            ";Левый;"
              Хэтчбек 3 дв. GTC            ";"
              Красный            ";https://rolf-probeg.ru//spb/cars/opel/astra/16092688/
"
        Porsche Cayenne АКПП 2011 с пробегом 153 168 км        ID
                    15627979        
";"
                2 257 957                ₽ ";"
              2011            ";"
                5                владельцев              ";"до
                  02.2024                ";"
              153 168 км
            ";"
              4.8 л /
              400 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Полный            ";Левый;"
              Внедорожник 5 дв.            ";"
              Коричневый            ";https://rolf-probeg.ru//spb/cars/porsche/cayenne/15627979/
"
        ŠKODA Rapid МКПП 2016 с пробегом 103 552 км        ID
                    14592999        
";"
                802 500                ₽ ";"
              2016            ";"
                2                владельца              ";"до
                  01.2024                ";"
              103 552 км
            ";"
              1.6 л /
              110 л.с. /
              Бензин                          ";"
              Механическая            ";"
              Передний            ";Левый;"
              Лифтбек            ";"
              Вишневый            ";https://rolf-probeg.ru//spb/cars/skoda/rapid/14592999/
"
        Ford Focus МКПП 2017 с пробегом 61 581 км        ID
                    16088486        
";"
                815 000                ₽ ";"
              2017            ";"
                1                владелец              ";"до
                  02.2024                ";"
              61 581 км
            ";"
              1.6 л /
              105 л.с. /
              Бензин                          ";"
              Механическая            ";"
              Передний            ";Левый;"
              Хэтчбек 5 дв.            ";"
              Коричневый            ";https://rolf-probeg.ru//spb/cars/ford/focus/16088486/
"
        Haval H6 МКПП 2019 с пробегом 61 641 км        ID
                    16096085        
";"
                1 449 000                ₽ ";"
              2019            ";"
                1                владелец              ";"до
                  02.2024                ";"
              61 641 км
            ";"
              1.5 л /
              143 л.с. /
              Бензин                          ";"
              Механическая            ";"
              Полный            ";Левый;"
              Внедорожник 5 дв.            ";"
              Серый            ";https://rolf-probeg.ru//spb/cars/haval/h6/16096085/
"
        Hyundai Creta АКПП 2021 с пробегом 20 000 км        ID
                    15966421        
";"
                1 700 000                ₽ ";"
              2021            ";"
                1                владелец              ";"до
                  09.2026                ";"
              20 000 км
            ";"
              1.6 л /
              123 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Передний            ";Левый;"
              Внедорожник 5 дв.            ";"
              Красный            ";https://rolf-probeg.ru//spb/cars/hyundai/creta/15966421/
