Type;auto_price;auto_year;auto_owners;auto_guarantee;auto_mileage;auto_engine;auto_transmission;auto_drive_unit;auto_wheel;auto_carcase;auto_color;link
"Jeep Grand Cherokee АКПП 2013 с пробегом 158 292 км        ID
                    14436648";2 145 000                    ₽;2013;3                владельца;"до
                  03.2024";158 292 км;"3.6 л /
              286 л.с. /
              Бензин";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Черный;https://rolf-probeg.ru/spb/cars/jeep/grand-cherokee/14436648/
"Jaguar XF АКПП 2012 с пробегом 140 048 км        ID
                    14154672";1 397 000                    ₽;2012;5                владельцев;"до
                  06.2024";140 048 км;"3.0 л /
              275 л.с. /
              Дизель";Автоматическая;Задний;Левый;Седан;Белый;https://rolf-probeg.ru/spb/cars/jaguar/xf/14154672/
"Nissan Qashqai CVT 2019 с пробегом 47 615 км        ID
                    15380239";1 795 000                    ₽;2019;1                владелец;"до
                  08.2022";47 615 км;"2.0 л /
              144 л.с. /
              Бензин";Вариатор;Полный;Левый;Внедорожник 5 дв.;Синий;https://rolf-probeg.ru/spb/cars/nissan/qashqai/15380239/
"Mazda CX-5 АКПП 2019 с пробегом 32 344 км        ID
                    15412342";2 497 000                    ₽;2019;1                владелец;"до
                  10.2022";32 344 км;"2.0 л /
              150 л.с. /
              Бензин";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Синий;https://rolf-probeg.ru/spb/cars/mazda/cx-5/15412342/
"Mazda CX-5 АКПП 2020 с пробегом 19 237 км        ID
                    15659711";2 510 000                    ₽;2020;1                владелец;"до
                  10.2023";19 237 км;"2.0 л /
              150 л.с. /
              Бензин";Автоматическая;Передний;Левый;Внедорожник 5 дв.;Серый;https://rolf-probeg.ru/spb/cars/mazda/cx-5/15659711/
"Hyundai Santa Fe АКПП 2016 с пробегом 99 320 км        ID
                    14894146";1 730 000                    ₽;2016;2                владельца;"до
                  01.2024";99 320 км;"2.4 л /
              171 л.с. /
              Бензин";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Коричневый;https://rolf-probeg.ru/spb/cars/hyundai/santa-fe/14894146/
"Hyundai i40 АКПП 2014 с пробегом 152 142 км        ID
                    15507632";840 000                    ₽;2014;3                владельца;"до
                  04.2024";152 142 км;"2.0 л /
              150 л.с. /
              Бензин";Автоматическая;Передний;Левый;Седан;Белый;https://rolf-probeg.ru/spb/cars/hyundai/i40/15507632/
"Mercedes E-Класс АКПП 2016 с пробегом 128 618 км        ID
                    15884507";2 550 000                    ₽;2016;3                владельца;"до
                  11.2023";128 618 км;"3.0 л /
              333 л.с. /
              Бензин";Автоматическая;Полный;Левый;Седан;;https://rolf-probeg.ru/spb/cars/mercedes/e-klasse/15884507/
"Infiniti Q50 АКПП 2015 с пробегом 60 188 км        ID
                    16141041";1 830 000                    ₽;2015;3                владельца;"до
                  05.2024";60 188 км;"2.0 л /
              211 л.с. /
              Бензин";Автоматическая;Задний;Левый;Седан;Серый;https://rolf-probeg.ru/spb/cars/infiniti/q50/16141041/
"Kia Stinger АКПП 2018 с пробегом 77 417 км        ID
                    16134365";2 550 000                    ₽;2018;2                владельца;"до
                  09.2023";77 417 км;"2.0 л /
              247 л.с. /
              Бензин";Автоматическая;Полный;Левый;Лифтбек;Белый;https://rolf-probeg.ru/spb/cars/kia/stinger/16134365/
"Hyundai Sonata АКПП 2020 с пробегом 48 800 км        ID
                    16155670";2 297 070                    ₽;2020;2                владельца;"до
                  07.2023";48 800 км;"2.5 л /
              180 л.с. /
              Бензин";Автоматическая;Передний;Левый;Седан;Черный;https://rolf-probeg.ru/spb/cars/hyundai/sonata/16155670/
"Mazda 3 АКПП 2004 с пробегом 271 136 км        ID
                    14439965";285 000                    ₽;2004;10                владельцев;"до
                  05.2024";271 136 км;"1.6 л /
              105 л.с. /
              Бензин";Автоматическая;Передний;Левый;Седан;Синий;https://rolf-probeg.ru/spb/cars/mazda/3/14439965/
"BMW X3 АКПП 2012 с пробегом 93 020 км        ID
                    14644763";1 450 000                    ₽;2012;3                владельца;"до
                  06.2024";93 020 км;"2.0 л /
              245 л.с. /
              Бензин";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Серый;https://rolf-probeg.ru/spb/cars/bmw/x3/14644763/
"LADA (ВАЗ) 2121 (4x4) МКПП 2018 с пробегом 54 900 км        ID
                    16144604";586 000                    ₽;2018;2                владельца;"до
                  05.2024";54 900 км;"1.7 л /
              83 л.с. /
              Бензин";Механическая;Полный;Левый;Внедорожник 3 дв.;Черный;https://rolf-probeg.ru/spb/cars/lada--vaz-/2121--4x4-/16144604/
"Volkswagen Touareg АКПП 2018 с пробегом 108 114 км        ID
                    15871892";4 990 000                    ₽;2018;3                владельца;"до
                  02.2023";108 114 км;"3.0 л /
              249 л.с. /
              Дизель";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Белый;https://rolf-probeg.ru/spb/cars/volkswagen/touareg/15871892/
"Kia Stinger АКПП 2018 с пробегом 37 384 км        ID
                    16139425";2 719 500                    ₽;2018;3                владельца;"до
                  01.2024";37 384 км;"2.0 л /
              247 л.с. /
              Бензин";Автоматическая;Полный;Левый;Лифтбек;Белый;https://rolf-probeg.ru/spb/cars/kia/stinger/16139425/
"Mini Clubman АКПП 2011 с пробегом 115 926 км        ID
                    16131072";818 000                    ₽;2011;4                владельца;"до
                  05.2024";115 926 км;"1.6 л /
              122 л.с. /
              Бензин";Автоматическая;Передний;Левый;Хэтчбек 3 дв.;Белый;https://rolf-probeg.ru/spb/cars/mini/clubman/16131072/
"Lexus IS АКПП 2008 с пробегом 148 558 км        ID
                    16085241";996 865                    ₽;2008;4                владельца;"до
                  01.2024";148 558 км;"2.5 л /
              208 л.с. /
              Бензин";Автоматическая;Задний;Левый;Седан;Голубой;https://rolf-probeg.ru/spb/cars/lexus/is/16085241/
"Ford Explorer АКПП 2017 с пробегом 43 948 км        ID
                    14765659";3 152 500                    ₽;2017;1                владелец;"до
                  04.2024";43 948 км;"3.5 л /
              249 л.с. /
              Бензин";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Черный;https://rolf-probeg.ru/spb/cars/ford/explorer/14765659/
"Land Rover Discovery Sport АКПП 2022 с пробегом 10 км        ID
                    16139074";6 990 000                    ₽;2022;1                владелец;"до
                  05.2025";10 км;"2.0 л /
              200 л.с. /
              Бензин";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Серый;https://rolf-probeg.ru/spb/cars/land-rover/discovery-sport/16139074/
"BMW X6 M АКПП 2009 с пробегом 120 000 км        ID
                    15696160";1 648 000                    ₽;2009;6                владельцев;"до
                  06.2024";120 000 км;"4.4 л /
              555 л.с. /
              Бензин";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Голубой;https://rolf-probeg.ru/spb/cars/bmw/x6-m/15696160/
"Land Rover Discovery Sport АКПП 2015 с пробегом 119 313 км        ID
                    14467185";2 490 000                    ₽;2015;2                владельца;"до
                  05.2024";119 313 км;"2.2 л /
              150 л.с. /
              Дизель";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Серый;https://rolf-probeg.ru/spb/cars/land-rover/discovery-sport/14467185/
"Lexus NX CVT 2016 с пробегом 29 863 км        ID
                    16156129";2 684 000                    ₽;2016;1                владелец;"до
                  06.2024";29 863 км;"2.0 л /
              150 л.с. /
              Бензин";Вариатор;Полный;Левый;Внедорожник 5 дв.;Серый;https://rolf-probeg.ru/spb/cars/lexus/nx/16156129/
"Infiniti QX70 АКПП 2014 с пробегом 117 773 км        ID
                    15924168";2 265 526                    ₽;2014;2                владельца;"до
                  06.2024";117 773 км;"3.0 л /
              238 л.с. /
              Дизель";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Белый;https://rolf-probeg.ru/spb/cars/infiniti/qx70/15924168/
"Chevrolet Lacetti МКПП 2011 с пробегом 135 000 км        ID
                    16151767";429 000                    ₽;2011;4                владельца;"до
                  06.2024";135 000 км;"1.6 л /
              109 л.с. /
              Бензин";Механическая;Передний;Левый;Универсал 5 дв.;Серебристый;https://rolf-probeg.ru/spb/cars/chevrolet/lacetti/16151767/
"Hyundai Santa Fe АКПП 2013 с пробегом 73 402 км        ID
                    16159086";1 637 000                    ₽;2013;1                владелец;"до
                  06.2024";73 402 км;"2.0 л /
              184 л.с. /
              Дизель";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Серый;https://rolf-probeg.ru/spb/cars/hyundai/santa-fe/16159086/
"Toyota Land Cruiser Prado АКПП 2007 с пробегом 153 041 км        ID
                    16134803";1 723 926                    ₽;2007;2                владельца;"до
                  04.2024";153 041 км;"4.0 л /
              249 л.с. /
              Бензин";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Бежевый;https://rolf-probeg.ru/spb/cars/toyota/land-cruiser-prado/16134803/
"BMW 6 серии АКПП 2015 с пробегом 117 429 км        ID
                    15146092";2 868 789                    ₽;2015;7                владельцев;"до
                  05.2024";117 429 км;"3.0 л /
              313 л.с. /
              Дизель";Автоматическая;Полный;Левый;Купе;Белый;https://rolf-probeg.ru/spb/cars/bmw/6-serii/15146092/
"Mitsubishi Outlander CVT 2013 с пробегом 211 692 км        ID
                    14015776";1 149 789                    ₽;2013;1                владелец;"до
                  06.2024";211 692 км;"2.4 л /
              170 л.с. /
              Бензин";Вариатор;Полный;Левый;Внедорожник 5 дв.;Черный;https://rolf-probeg.ru/spb/cars/mitsubishi/outlander/14015776/
"Volkswagen Tiguan АКПП 2011 с пробегом 157 048 км        ID
                    16159571";969 000                    ₽;2011;1                владелец;"до
                  06.2024";157 048 км;"2.0 л /
              170 л.с. /
              Бензин";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Красный;https://rolf-probeg.ru/spb/cars/volkswagen/tiguan/16159571/
"Audi A3 РКПП 2012 с пробегом 54 501 км        ID
                    15899510";985 789                    ₽;2012;2                владельца;"до
                  06.2024";54 501 км;"1.2 л /
              105 л.с. /
              Бензин";Робот;Передний;Левый;Хэтчбек 5 дв. Sportback;Белый;https://rolf-probeg.ru/spb/cars/audi/a3/15899510/
"Volkswagen Golf РКПП 2018 с пробегом 36 777 км        ID
                    16159825";1 769 789                    ₽;2018;1                владелец;"до
                  06.2024";36 777 км;"1.4 л /
              125 л.с. /
              Бензин";Робот;Передний;Левый;Хэтчбек 5 дв.;Синий;https://rolf-probeg.ru/spb/cars/volkswagen/golf/16159825/
"ŠKODA Octavia МКПП 2013 с пробегом 133 314 км        ID
                    16117660";750 000                    ₽;2013;1                владелец;"до
                  03.2024";133 314 км;"1.2 л /
              105 л.с. /
              Бензин";Механическая;Передний;Левый;Лифтбек;Серебристый;https://rolf-probeg.ru/spb/cars/skoda/octavia/16117660/
"Volkswagen Polo АКПП 2021 с пробегом 1 386 км        ID
                    15821988";1 620 000                    ₽;2021;1;"до
                  06.2024";1 386 км;"1.6 л /
              110 л.с. /
              Бензин";Автоматическая;Передний;Левый;Лифтбек;Белый;https://rolf-probeg.ru/spb/cars/volkswagen/polo/15821988/
"Ford Kuga РКПП 2013 с пробегом 135 245 км        ID
                    15766119";1 219 000                    ₽;2013;2                владельца;"до
                  06.2024";135 245 км;"2.0 л /
              140 л.с. /
              Дизель";Робот;Полный;Левый;Внедорожник 5 дв.;Серый;https://rolf-probeg.ru/spb/cars/ford/kuga/15766119/
"BMW 5 серии АКПП 2013 с пробегом 147 696 км        ID
                    14655128";1 847 789                    ₽;2013;6                владельцев;"до
                  06.2024";147 696 км;"3.0 л /
              258 л.с. /
              Дизель";Автоматическая;Полный;Левый;Лифтбек Gran Turismo;Черный;https://rolf-probeg.ru/spb/cars/bmw/5-serii/14655128/
"Mitsubishi Outlander CVT 2021 с пробегом 26 212 км        ID
                    15806037";2 441 510                    ₽;2021;1                владелец;"до
                  04.2024";26 212 км;"2.0 л /
              146 л.с. /
              Бензин";Вариатор;Полный;Левый;Внедорожник 5 дв.;Белый;https://rolf-probeg.ru/spb/cars/mitsubishi/outlander/15806037/
"Subaru Forester МКПП 2017 с пробегом 87 341 км        ID
                    16111372";1 898 000                    ₽;2017;1                владелец;"до
                  03.2024";87 341 км;"2.0 л /
              150 л.с. /
              Бензин";Механическая;Полный;Левый;Внедорожник 5 дв.;Серебристый;https://rolf-probeg.ru/spb/cars/subaru/forester/16111372/
"Kia Optima АКПП 2014 с пробегом 156 880 км        ID
                    16157777";1 137 000                    ₽;2014;2                владельца;;156 880 км;"2.0 л /
              150 л.с. /
              Бензин";Автоматическая;Передний;Левый;Седан;Белый;https://rolf-probeg.ru/spb/cars/kia/optima/16157777/
"Geely Atlas АКПП 2021 с пробегом 17 000 км        ID
                    16156647";2 049 789                    ₽;2021;1                владелец;"до
                  06.2024";17 000 км;"2.4 л /
              149 л.с. /
              Бензин";Автоматическая;Передний;Левый;Внедорожник 5 дв.;Черный;https://rolf-probeg.ru/spb/cars/geely/atlas/16156647/
"Nissan Qashqai МКПП 2011 с пробегом 196 826 км        ID
                    16152607";712 000                    ₽;2011;3                владельца;"до
                  05.2024";196 826 км;"1.6 л /
              114 л.с. /
              Бензин";Механическая;Передний;Левый;Внедорожник 5 дв.;Фиолетовый;https://rolf-probeg.ru/spb/cars/nissan/qashqai/16152607/
"Toyota Camry АКПП 2021 с пробегом 10 807 км        ID
                    16137158";3 970 000                    ₽;2021;1                владелец;"до
                  09.2024";10 807 км;"3.5 л /
              249 л.с. /
              Бензин";Автоматическая;Передний;Левый;Седан;Белый;https://rolf-probeg.ru/spb/cars/toyota/camry/16137158/
"Audi Q3 РКПП 2015 с пробегом 83 410 км        ID
                    16159154";1 749 789                    ₽;2015;4                владельца;"до
                  06.2024";83 410 км;"2.0 л /
              180 л.с. /
              Бензин";Робот;Полный;Левый;Внедорожник 5 дв.;Черный;https://rolf-probeg.ru/spb/cars/audi/q3/16159154/
"Volkswagen Tiguan РКПП 2016 с пробегом 94 999 км        ID
                    15533511";1 479 888                    ₽;2016;5                владельцев;"до
                  01.2024";94 999 км;"2.0 л /
              210 л.с. /
              Бензин";Робот;Полный;Левый;Внедорожник 5 дв.;Серебристый;https://rolf-probeg.ru/spb/cars/volkswagen/tiguan/15533511/
"Mercedes M-Класс АКПП 2011 с пробегом 222 699 км        ID
                    16153559";1 639 000                    ₽;2011;5                владельцев;"до
                  06.2024";222 699 км;"3.0 л /
              224 л.с. /
              Дизель";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Белый;https://rolf-probeg.ru/spb/cars/mercedes/m-klasse/16153559/
"Ford Focus АКПП 2003 с пробегом 245 055 км        ID
                    16160042";215 000                    ₽;2003;3                владельца;"до
                  06.2024";245 055 км;"2.3 л /
              145 л.с. /
              Бензин";Автоматическая;Передний;Левый;Седан;Серый;https://rolf-probeg.ru/spb/cars/ford/focus/16160042/
"Hyundai Santa Fe АКПП 2019 с пробегом 32 400 км        ID
                    16138157";2 992 500                    ₽;2019;1                владелец;;32 400 км;"2.4 л /
              188 л.с. /
              Бензин";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Белый;https://rolf-probeg.ru/spb/cars/hyundai/santa-fe/16138157/
"Audi A4 РКПП 2012 с пробегом 170 585 км        ID
                    16155848";1 329 000                    ₽;2012;3                владельца;"до
                  06.2024";170 585 км;"2.0 л /
              211 л.с. /
              Бензин";Робот;Полный;Левый;Седан;Белый;https://rolf-probeg.ru/spb/cars/audi/a4/16155848/
"BMW X3 АКПП 2013 с пробегом 169 593 км        ID
                    15550852";1 399 000                    ₽;2013;4                владельца;"до
                  06.2024";169 593 км;"2.0 л /
              245 л.с. /
              Бензин";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Черный;https://rolf-probeg.ru/spb/cars/bmw/x3/15550852/
"Renault Sandero МКПП 2011 с пробегом 115 298 км        ID
                    16159677";514 789                    ₽;2011;2                владельца;"до
                  06.2024";115 298 км;"1.6 л /
              84 л.с. /
              Бензин";Механическая;Передний;Левый;Хэтчбек 5 дв. Stepway;Красный;https://rolf-probeg.ru/spb/cars/renault/sandero/16159677/
"Mercedes GLK-Класс АКПП 2015 с пробегом 134 802 км        ID
                    16151166";1 920 000                    ₽;2015;1                владелец;;134 802 км;"2.1 л /
              170 л.с. /
              Дизель";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Синий;https://rolf-probeg.ru/spb/cars/mercedes/glk-klass/16151166/
"BMW 5 серии АКПП 2018 с пробегом 63 401 км        ID
                    14975770";2 799 888                    ₽;2018;3                владельца;"до
                  06.2024";63 401 км;"2.0 л /
              190 л.с. /
              Дизель";Автоматическая;Задний;Левый;Седан;Синий;https://rolf-probeg.ru/spb/cars/bmw/5-serii/14975770/
"Hyundai Solaris АКПП 2020 с пробегом 30 750 км        ID
                    16159729";1 189 000                    ₽;2020;1                владелец;"до
                  01.2026";30 750 км;"1.6 л /
              123 л.с. /
              Бензин";Автоматическая;Передний;Левый;Седан;Черный;https://rolf-probeg.ru/spb/cars/hyundai/solaris/16159729/
"Land Rover Freelander МКПП 2010 с пробегом 346 731 км        ID
                    16159577";1 079 789                    ₽;2010;5                владельцев;"до
                  06.2024";346 731 км;"2.2 л /
              150 л.с. /
              Дизель";Механическая;Полный;Левый;Внедорожник 5 дв.;Серый;https://rolf-probeg.ru/spb/cars/land-rover/freelander/16159577/
"BMW 5 серии АКПП 2014 с пробегом 110 865 км        ID
                    16140258";2 010 000                    ₽;2014;2                владельца;"до
                  05.2024";110 865 км;"2.0 л /
              245 л.с. /
              Бензин";Автоматическая;Полный;Левый;Седан;Синий;https://rolf-probeg.ru/spb/cars/bmw/5-serii/16140258/
"Kia Sportage АКПП 2016 с пробегом 168 638 км        ID
                    16157985";1 269 789                    ₽;2016;2                владельца;"до
                  06.2024";168 638 км;"2.0 л /
              150 л.с. /
              Бензин";Автоматическая;Передний;Левый;Внедорожник 5 дв.;Белый;https://rolf-probeg.ru/spb/cars/kia/sportage/16157985/
"Mitsubishi Outlander CVT 2021 с пробегом 18 118 км        ID
                    16043684";2 998 000                    ₽;2021;1                владелец;"до
                  06.2024";18 118 км;"2.4 л /
              167 л.с. /
              Бензин";Вариатор;Полный;Левый;Внедорожник 5 дв.;Белый;https://rolf-probeg.ru/spb/cars/mitsubishi/outlander/16043684/
"Lexus ES АКПП 2013 с пробегом 221 621 км        ID
                    16110819";1 570 000                    ₽;2013;5                владельцев;"до
                  03.2024";221 621 км;"2.5 л /
              184 л.с. /
              Бензин";Автоматическая;Передний;Левый;Седан;Белый;https://rolf-probeg.ru/spb/cars/lexus/es/16110819/
"BMW 6 серии АКПП 2013 с пробегом 167 000 км        ID
                    14774933";2 500 000                    ₽;2013;6                владельцев;"до
                  04.2024";167 000 км;"3.0 л /
              313 л.с. /
              Дизель";Автоматическая;Полный;Левый;Седан Gran Coupe;Синий;https://rolf-probeg.ru/spb/cars/bmw/6-serii/14774933/
"Audi Q5 АКПП 2013 с пробегом 107 116 км        ID
                    16083446";1 550 000                    ₽;2013;2                владельца;"до
                  01.2024";107 116 км;"2.0 л /
              225 л.с. /
              Бензин";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Красный;https://rolf-probeg.ru/spb/cars/audi/q5/16083446/
"Kia Ceed АКПП 2012 с пробегом 138 149 км        ID
                    16156834";925 000                    ₽;2012;3                владельца;"до
                  06.2024";138 149 км;"1.6 л /
              129 л.с. /
              Бензин";Автоматическая;Передний;Левый;Хэтчбек 5 дв.;Синий;https://rolf-probeg.ru/spb/cars/kia/ceed/16156834/
"Kia Sorento РКПП 2021 с пробегом 46 419 км        ID
                    16148497";3 720 000                    ₽;2021;1                владелец;"до
                  01.2026";46 419 км;"2.2 л /
              199 л.с. /
              Дизель";Робот;Полный;Левый;Внедорожник 5 дв.;Синий;https://rolf-probeg.ru/spb/cars/kia/sorento/16148497/
"Hyundai Creta АКПП 2022 с пробегом 4 628 км        ID
                    16159043";2 049 000                    ₽;2022;1                владелец;"до
                  02.2027";4 628 км;"1.6 л /
              123 л.с. /
              Бензин";Автоматическая;Передний;Левый;Внедорожник 5 дв.;Белый;https://rolf-probeg.ru/spb/cars/hyundai/creta/16159043/
"Volkswagen Tiguan РКПП 2019 с пробегом 103 121 км        ID
                    15471234";1 899 000                    ₽;2019;1                владелец;"до
                  05.2024";103 121 км;"1.4 л /
              150 л.с. /
              Бензин";Робот;Передний;Левый;Внедорожник 5 дв.;Белый;https://rolf-probeg.ru/spb/cars/volkswagen/tiguan/15471234/
"Volkswagen Polo МКПП 2017 с пробегом 199 000 км        ID
                    16158593";600 000                    ₽;2017;1                владелец;;199 000 км;"1.6 л /
              90 л.с. /
              Бензин";Механическая;Передний;Левый;Седан;Белый;https://rolf-probeg.ru/spb/cars/volkswagen/polo/16158593/
"ŠKODA Rapid АКПП 2020 с пробегом 39 670 км        ID
                    16114086";1 315 320                    ₽;2020;2                владельца;"до
                  07.2023";39 670 км;"1.6 л /
              110 л.с. /
              Бензин";Автоматическая;Передний;Левый;Лифтбек;Белый;https://rolf-probeg.ru/spb/cars/skoda/rapid/16114086/
"Kia Optima АКПП 2017 с пробегом 117 332 км        ID
                    16090025";1 137 888                    ₽;2017;2                владельца;"до
                  02.2023";117 332 км;"2.0 л /
              150 л.с. /
              Бензин";Автоматическая;Передний;Левый;Седан;Черный;https://rolf-probeg.ru/spb/cars/kia/optima/16090025/
"Genesis G70 АКПП 2019 с пробегом 63 637 км        ID
                    15231235";2 650 000                    ₽;2019;1                владелец;"до
                  07.2023";63 637 км;"2.0 л /
              197 л.с. /
              Бензин";Автоматическая;Полный;Левый;Седан;Красный;https://rolf-probeg.ru/spb/cars/genesis/g70/15231235/
"ŠKODA Karoq РКПП 2021 с пробегом 23 080 км        ID
                    16147091";2 440 317                    ₽;2021;2                владельца;"до
                  02.2024";23 080 км;"1.4 л /
              150 л.с. /
              Бензин";Робот;Полный;Левый;Внедорожник 5 дв.;Серый;https://rolf-probeg.ru/spb/cars/skoda/karoq/16147091/
"Mitsubishi Outlander АКПП 2007 с пробегом 95 908 км        ID
                    16150729";1 021 952                    ₽;2007;3                владельца;"до
                  05.2024";95 908 км;"3.0 л /
              220 л.с. /
              Бензин";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Черный;https://rolf-probeg.ru/spb/cars/mitsubishi/outlander/16150729/
"Kia Cerato АКПП 2013 с пробегом 219 357 км        ID
                    16141271";648 000                    ₽;2013;2                владельца;"до
                  05.2024";219 357 км;"1.6 л /
              130 л.с. /
              Бензин";Автоматическая;Передний;Левый;Седан;Красный;https://rolf-probeg.ru/spb/cars/kia/cerato/16141271/
"Haval F7x РКПП 2021 с пробегом 17 427 км        ID
                    16158529";2 361 150                    ₽;2021;1                владелец;"до
                  06.2024";17 427 км;"1.5 л /
              150 л.с. /
              Бензин";Робот;Полный;Левый;Внедорожник 5 дв.;Серый;https://rolf-probeg.ru/spb/cars/haval/f7x/16158529/
"Land Rover Range Rover Evoque АКПП 2012 с пробегом 107 364 км        ID
                    15163665";2 190 000                    ₽;2012;2                владельца;"до
                  03.2024";107 364 км;"2.2 л /
              190 л.с. /
              Дизель";Автоматическая;Полный;Левый;Внедорожник 3 дв.;Синий;https://rolf-probeg.ru/spb/cars/land-rover/range-rover-evoque/15163665/
"Lexus NX CVT 2017 с пробегом 97 285 км        ID
                    16122679";2 536 000                    ₽;2017;3                владельца;"до
                  03.2024";97 285 км;"2.0 л /
              150 л.с. /
              Бензин";Вариатор;Полный;Левый;Внедорожник 5 дв.;Серебристый;https://rolf-probeg.ru/spb/cars/lexus/nx/16122679/
"BMW X6 M АКПП 2015 с пробегом 77 055 км        ID
                    16155851";4 248 000                    ₽;2015;1                владелец;"до
                  06.2024";77 055 км;"4.4 л /
              575 л.с. /
              Бензин";Автоматическая;Полный;Левый;Внедорожник 5 дв.;Серый;https://rolf-probeg.ru/spb/cars/bmw/x6-m/16155851/
"Honda Accord CVT 2020 с пробегом 13 520 км        ID
                    16158408";1 950 000                    ₽;2020;1;;13 520 км;"1.5 л /
              192 л.с. /
              Бензин";Вариатор;Передний;Левый;Седан;Синий;https://rolf-probeg.ru/spb/cars/honda/accord/16158408/
"Smart Fortwo РКПП 2017 с пробегом 75 761 км        ID
                    15886805";898 000                    ₽;2017;2                владельца;"до
                  05.2024";75 761 км;"0.9 л /
              90 л.с. /
              Бензин";Робот;Задний;Левый;Хэтчбек 3 дв.;Коричневый;https://rolf-probeg.ru/spb/cars/smart/fortwo/15886805/
